"Begrip","Betekenis","Verwijzing","Woordenboek",,,,,
"TLP","Traffic Light Protocol. Een methode om data of informatie in te delen in klasses. Hoe men dit indeelt, hangt af van met wie men de informatie mag delen. De klasses zijn rood, oranje, groen en wit.",,"INFOSEC",,,,,
"TLS",,"Transport Layer Security","INFOSEC",,,,,
"Toegangsbeheer","Controle om te bepalen wie naar binnen mag in een ruimte of digitaal systeem.",,"INFOSEC",,,,,
"Token","Een middel dat men gebruikt om ergens in te mogen. Dat kan bijvoorbeeld een ruimte in een gebouw zijn of een digitaal systeem. ",,"INFOSEC",,,,,
"Tokenisatie","Proces waarbij men een document met kwetsbare gegevens vervangt door andere gegevens die minder kwetsbaar zijn. Zo kan men bijvoorbeeld privacy beter garanderen.",,"INFOSEC",,,,,
"TOR","The Onion Router. Een methode om anoniemer op het internet te kunnen surfen. TOR biedt ook toegang tot het Dark web.","Darkweb","INFOSEC",,,,,
"TPM","1. Third Party Memorandum/Mededeling. Verklaring van een onafhankelijk onderzoeksbureau waarin staat hoe goed de ICT-dienstverlening en ICT-kennis van een organisatie zijn. \newline 2. Trusted Platform Module. Internationale standaardeisen voor een veilige cryptoprocessor. De TPM is ontworpen om hardware te gebruiken in het beveiligen van sleutels en cijfercodes. Dit security model zorgt ervoor dat de sleutels niet gestolen kunnen worden.",,"INFOSEC",,,,,
"Transport Layer Security","Transport Layer Security zorgt voor beveiligde internetverbindingen, met als doel de veilige uitwisseling van gegevens tussen internetsystemen. Bijvoorbeeeld websites of mailservers. Dit maakt het voor cybercriminelen moeilijker om internetverkeer te onderscheppen of te manipuleren. TLS is de opvolger van SSL.","Cryptografie, authenticatie","INFOSEC",,,,,
"Trojan","Type kwaadaardige software waarmee een aanvaller via een geheime ingang in een systeem kan komen. Vaak is deze verhuld in software die een gebruiker graag wil hebben en zelf installeert, zonder dat hij er zeker van is dat deze betrouwbaar is.",,"INFOSEC",,,,,
"True negative","Niets doen zolang een computersysteem normaal werkt.",,"INFOSEC",,,,,
"True positive","Een aanval herkennen die ook echt een aanval is.",,"INFOSEC",,,,,
"Trusted Third Party","Een vertrouwde derde partij of vertrouwde tussenpersoon is in de informatiebeveiliging en cryptografie een instantie die zaken als broncode, datacertificaten en sleutels voor derden in bewaring neemt. Bij versleuteling kunnen beide partijen bij een vertrouwde derde partij een certificaat of sleutel opvragen.",,"INFOSEC",,,,,
"TTP","Tactics, techniques and procedures. Tactieken, technieken en processen die een aanvaller gebruikt. TTP’s worden gebruikt om de manier van werken van aanvallers te bepalen. Een Red team oefening is hier een voorbeeld van.",,"INFOSEC",,,,,
"Tweestapsauthenticatie",,"Meerfactor authenticatie","INFOSEC",,,,,
"Two-factor authenticatie",,"Meerfactor authenticatie","INFOSEC",,,,,
"Typo-squatting","Vorm van misbruik van het internet. Men maakt misbruik de situatie dat mensen kleine fouten in een url vaak niet zien. Bijvoorbeeld men gebruikt een domeinnaam m die maar één letter verschilt van de domeinnaam van de website die de bezoeker wilt bezoeken. ",,"INFOSEC",,,,,
"Uitval","Situatie dat gebruikers niet meer in een digitaal systeem kunnen werken. ",,"INFOSEC",,,,,
"Unkown unknown","Onbekend en onkenbaar risico. Een risico dat pas ontdekt wordt wanneer het zich voor de eerst tijdens een incident toont.",,"INFOSEC",,,,,
"Update","Nieuwe versie van software of firmware door de producent. Deze repareert bekende zwakke plekken, zorgt eventueel voor nieuwe beveiliging en extra functies. ","Patch","INFOSEC",,,,,
"Versleutelen","Informatie (bijvoorbeeld een tekstbestand of netwerkverkeer) onbegrijpelijk maken voor anderen. Dit wordt gedaan met één of twee sleutels (symmetrische danwel asymmetrische versleuteling). De informatie wordt onleesbaar gemaakt door de zender waarna de ontvanger deze weer leesbaar maakt, met behulp van de sleutel(s). Men versleutelt informatie bijvoorbeeld om deze veilig te versturen of bijvoorbeeld om vast te stellen dat een bericht ook echt komt van degene die zegt dat hij het heeft verstuurd. ","Cryptografie, ontsleutelen","INFOSEC",,,,,
"Vertrouwelijkheid","Informatie is vertrouwelijk als het alleen gezien wordt door iemand die het gegeven ook mag zien. Degene die het gegeven maakt, bepaalt wie het mag zien. Vertrouwelijkheid is een van de kwaliteitskenmerken van gegevens.",,"INFOSEC",,,,,
"Virtual Machine","Een computerprogramma dat een computer nabootst waarop men andere programma’s kan uitvoeren. Zo kan men op één echte computer meerdere virtuele computers laten draaien en hardware delen.",,"INFOSEC",,,,,
"Virtual private network","Uitbreiding van een computernetwerk over een openbaar netwerk. Via die uitbreiding kunnen gebruikers vanaf elke plek veilig gegevens delen met het computernetwerk. Voor de gebruikers is het alsof ze rechtstreeks op het netwerk zijn aangesloten. De veilige verbinding valt te omschrijven als een tunnel.",,"INFOSEC",,,,,
"Virus","Vorm van schadelijke software die men op een computersysteem zet met als doel om het systeem uit te schakelen, te beschadigen of gegevens te stelen. Men ontwerpt het virus zo dat het zichzelf probeert te verspreiden naar andere digitale systemen.","Malware","INFOSEC",,,,,
"Vishing","Voice phishing.","Voice phishing","INFOSEC",,,,,
"Voice phishing","Vorm van phishing waarbij een aanvaller belt met een gebruiker en probeert om van hem of haar vertrouwelijke informatie te krijgen om met deze informatie te proberen in een digitaal systeem te komen. ",,"INFOSEC",,,,,
"VPN","Virtual Private Network","Virtual private network","INFOSEC",,,,,
"Vrijwaringsverklaring","Verklaring waarin men toestemming geeft om een beveiligingsonderzoek te doen en om de onderzoeker te vrijwaren van schede die hij mogelijk door dit onderzoek veroorzaakt bij professionele uitvoering ervan. Ook staat erin waaraan het onderzoek moet voldoen. Deze verklaring gebruikt men bijvoorbeeld voor een penetratietest.",,"INFOSEC",,,,,
"Vulnerability",,"Kwetsbaarheid","INFOSEC",,,,,
"Vulnerability assessment","Handmatige controle waarbij men zwakke plekken in een systeem opspoort. Men bepaalt vooraf hoe men dat doet. Bij een vulnerability assessment probeert men alle zwakke plekken te vinden in een klein gebied. Dat is anders dan bij een penetratietest waarbij men zo diep mogelijk in een systeem wil komen.",,"INFOSEC",,,,,
"Vulnerability management","Wat een organisatie doet om er voortdurend voor te zorgen dat zwakke plekken in de eigen digitale systemen worden opgespoord en hersteld.",,"INFOSEC",,,,,
"Vulnerability scan","Een geautomatiseerde controle die zwakke plekken in een systeem opspoort. Alleen als het vals alarm is, haalt men die er handmatig uit. ","Kwetsbaarhedenscan","INFOSEC",,,,,
"Wachtwoord","Reeks van letters, cijfers en of andere karakters waarmee een gebruiker in een computersysteem kan komen. Het is de bedoeling dat een gebruiker dit wachtwoord niet aan anderen geeft en een sterk wachtwoord kiest zodat dit moeilijk te kraken is door aanvallers.","Inlogcode","INFOSEC",,,,,
"Wachtwoord manager","Software waarin een gebruiker de combinatie van wachtwoord en gebruikersnaam kan opslaan. Dit is een soort digitale kluis. Vaak kan de software ook zelf wachtwoorden aanmaken, websites herkennen en automatisch invullen. Ook geeft de wachtwoord manager vaak aan of een wachtwoord sterk genoeg is, en of je deze al eerder hebt gebruikt. ",,"INFOSEC",,,,,
"WBNI","Wet Beveiliging Netwerk- en Informatiesystemen. Nederlandse wet die bepaalt aan welke eisen aanbieders van essentiële diensten (AED’s) en digitale diensten (DSP’s) moeten voldoen. Deze wet voert uit wat er staat in de Europese Netwerk- en Informatiebeveiligingsrichtlijn (NIB).",,"INFOSEC",,,,,
"White Team",,"Adversary simulation","INFOSEC",,,,,
"Whitebox test",,"Black box test","INFOSEC",,,,,
"Whitehat hacker","Iemand die inbreekt in een computersysteem met positieve intenties. Het doel is beveiligingslekken op te sporen. De term ‘white hat’ komt uit cowboyfilms waarin de held altijd een witte hoed droeg. Een whitehat hacker wordt ook wel een ethische hacker genoemd.","Hacker, greyhat hacker, blackhat hacker","INFOSEC",,,,,
"Whitelisting","Actie waarmee men in een lijst vastlegt welke applicaties, gebruikers en acties men toestaat. Alles wat niet op de lijst staat wordt automatisch geblokkeerd. Het tegenovergestelde is blacklisting.","Blacklisting","INFOSEC",,,,,
"Worm","Kwaadaardige code die zichzelf, zonder tussenkomst van een mens, vermenigvuldigt en verspreidt over verschillende digitale systemen. Bekende voorbeelden zijn Wannacry en NotPetya.","Malware","INFOSEC",,,,,
"XaaS","Algemene naam voor het uitbesteden van diensten. Bij cloud computing heet het IaaS (Infrastructure as a Service). Of PaaS (Platform as a Service) en Saas (Software as a Service). Andere voorbeelden zijn DaaS (Database as a Service) en BaaS (Blockchain as a Service). ",,"INFOSEC",,,,,
"XSS",,"Cross site scripting","INFOSEC",,,,,
"Zero trust","Model met strenge regels voor wie in een digitaal systeem mag, en wat hij daar mag zien en doen. Het uitgangspunt is: vertrouw niets of niemand, controleer altijd of een gebruiker of computer wel is wie hij zegt te zijn. Een gebruiker mag alleen in een digitaal systeem als het systeem heeft gecontroleerd wie hij is en waar hij is. ",,"INFOSEC",,,,,
"Zero-day","1. Afkorting voor zero day vulnerability. Een zwakke plek in software of hardware die nog niet bij de leverancier bekend is en dus ook nog niet is hersteld. Omdat de zwakke plek nog niet bekend is, kan niemand zich er goed tegen beschermen. De zwakke plek is pas een risico als er een exploit voor is gemaakt die de zwakke plek effectief weet te misbruiken. \newline 2. Afkorting voor zero day exploit. Een zero day exploit is een speciale exploit. Hij is speciaal omdat de zwakke plek die wordt misbruikt niet bij de leverancier bekend is en dus ook nog niet is hersteld. Omdat de zwakke plek nog niet bekend is, kan niemand zich er goed tegen beschermen. Daarom is een zero day exploit heel waardevol voor aanvallers. Ontdekkers van zero days kunnen ze voor veel geld verkopen aan criminelen of inlichtingendiensten.",,"INFOSEC",,,,,
"Zombie-computer","Computer die is besmet met een bot. De naam zombie komt van het idee dat de eigenaar niet merkt dat de computer door een aanvaller wordt misbruikt.","Bot, Botnet","INFOSEC",,,,,
"Zorgplicht","De plicht die organisaties hebben om de producten en diensten die zij bieden veilig te maken om het risico op aanvallen te verkleinen. En om de gevolgen van een aantal te verkleinen als die er toch komt.",,"INFOSEC",,,,,
"Document","Er zijn in de wetgeving twee definities van een document, die beiden duidelijk maken dat in de juridische zin een document iedere vorm van informatie is, zoals een schriftelijk stuk, e-mail, social media bericht, database, enzovoort. In de Wet op de parlementaire enquete is een document in artikel 1, eerste lid onder c gedefinieerd als Schriftelijk stuk of ander materiaal dat gegevens bevat. In de Wet open overheid is dit in artikel 2, eerste lid gedefinieerd als:
document: een door een orgaan, persoon of college als bedoeld in artikel 2.2, eerste lid, opgemaakt of ontvangen schriftelijk stuk of ander geheel van vastgelegde gegevens dat naar zijn aard verband houdt met de publieke taak van dat orgaan, die persoon of dat college;","Persoonsgegevens","LEGAL",,,,,
"Verwerking","In de Algemene Verordening Gegevensbescherming (AVG) is een verwerking in artikel 4, tweede lid gedefinieerd als  kenmerkend zijn voor de fysieke, fysiologische, genetische, psychische, economische, culturele of sociale identiteit van die natuurlijke persoon.",,,,,,,
"Beperken van de verwerking","In de Algemene Verordening Gegevensbescherming (AVG) in artikel 4, derde lid is beperken van de verwerking gedefinieerd als het markeren van opgeslagen persoonsgegevens met als doel de verwerking ervan in de toekomst te beperken.",,,,,,,
"Bestand","In de Algemene Verordening Gegevensbescherming (AVG) in artikel 4, zesde lid is een bestand gedefinieerd als elk gestructureerd geheel van persoonsgegevens die volgens bepaalde criteria toegankelijk zijn, ongeacht of dit geheel gecentraliseerd of gedecentraliseerd is dan wel op functionele of geografische gronden is verspreid.",,"LEGAL,INFOSEC",,,,,
"Verwerkingsverantwoordelijke","In de Algemene Verordening Gegevensbescherming (AVG) in artikel 4, zevende lid is een verwerkingsverantwoordelijke gedefinieerd als een natuurlijke persoon of rechtspersoon, een overheidsinstantie, een dienst of een ander orgaan die/dat, alleen of samen met anderen, het doel van en de middelen voor de verwerking van persoonsgegevens vaststelt; wanneer de doelstellingen van en de middelen voor deze verwerking in het Unierecht of het lidstatelijke recht worden vastgesteld, kan daarin worden bepaald wie de verwerkingsverantwoordelijke is of volgens welke criteria deze wordt aangewezen.",,,,,,,
"Verwerker","In de Algemene Verordening Gegevensbescherming (AVG) in artikel 4, achtste lid is een verwerker gedefinieerd als een natuurlijke persoon of rechtspersoon, een overheidsinstantie, een dienst of een ander orgaan die/dat namens de verwerkingsverantwoordelijke persoonsgegevens verwerkt.",,,,,,,
"Ontvanger","In de Algemene Verordening Gegevensbescherming (AVG) in artikel 4, negende lid is een ontvanger gedefinieerd als een natuurlijke persoon of rechtspersoon, een overheidsinstantie, een dienst of een ander orgaan, al dan niet een derde, aan wie/waaraan de persoonsgegevens worden verstrekt. Overheidsinstanties die mogelijk persoonsgegevens ontvangen in het kader van een bijzonder onderzoek overeenkomstig het Unierecht of het lidstatelijke recht gelden echter niet als ontvangers; de verwerking van die gegevens door die overheidsinstanties strookt met de gegevensbeschermingsregels die op het betreffende verwerkingsdoel van toepassing zijn.",,,,,,,
"Derde","In de Algemene Verordening Gegevensbescherming (AVG) in artikel 4, tiende lid is een ontvanger gedefinieerd als een natuurlijke persoon of rechtspersoon, een overheidsinstantie, een dienst of een ander orgaan, niet zijnde de betrokkene,
noch de verwerkingsverantwoordelijke, noch de verwerker, noch de
personen die onder rechtstreeks gezag van de verwerkingsverantwoordelijke of de verwerker gemachtigd zijn om de persoonsgegevens te verwerken.",,,,,,,
"Toestemming","In de Algemene Verordening Gegevensbescherming (AVG) in artikel 4, elfde lid is een toestemming gedefinieerd als van de betrokkene: elke vrije, specifieke, geïnformeerde en ondubbelzinnige wilsuiting waarmee de betrokkene door
middel van een verklaring of een ondubbelzinnige actieve handeling een hem betreffende verwerking van persoonsgegevens aanvaardt.",,,,,,,
"Inbreuk in verband met persoonsgegevens","In de Algemene Verordening Gegevensbescherming (AVG) in artikel 4, twaalfde lid is een incident in verband met persoonsgegevens gedefinieerd als een inbreuk op de beveiliging die per ongeluk of op onrechtmatige wijze leidt tot de vernietiging, het verlies, de wijziging of de ongeoorloofde verstrekking van of de ongeoorloofde toegang tot doorgezonden, opgeslagen of anderszins verwerkte gegevens.",,,,,,,
"Genetische gegevens","In de Algemene Verordening Gegevensbescherming (AVG) in artikel 4, 13de lid zijn genetische gegevens gedefinieerd als persoonsgegevens die verband houden met de overgeërfde of verworven genetische kenmerken van een natuurlijke persoon die unieke informatie verschaffen over de fysiologie of de gezondheid van die natuurlijke persoon en die met name voortkomen uit een analyse van een biologisch monster van die natuurlijke persoon.",,,,,,,
"Biometrische gegevens","In de Algemene Verordening Gegevensbescherming (AVG) is een persoonsgegeven in artikel 4, 14de lid zijn biometrische gegevens gedefinieerd als persoonsgegevens persoonsgegevens die het resultaat zijn van een specifieke technische verwerking met betrekking tot de fysieke, fysiologische of gedragsgerelateerde kenmerken van een natuurlijke persoon op grond waarvan eenduidige identificatie van die natuurlijke persoon mogelijk is of wordt bevestigd, zoals gezichtsafbeeldingen of vingerafdrukgegevens.",,,,,,,
"Gegevens over gezondheid","In de Algemene Verordening Gegevensbescherming (AVG)in artikel 4, 15de lid zijn gegevens over gezondheid gedefinieerd als  persoonsgegevens die verband houden met de fysieke of mentale gezondheid van een natuurlijke persoon, waaronder gegevens over verleende gezondheidsdiensten waarmee informatie over zijn gezondheidstoestand wordt gegeven.",,,,,,,
"Medische gegevens",,"Gegevens over gezondheid",,,,,,
"Gezondheidsgegevens",,"Gegevens over gezondheid",,,,,,
"Vertegenwoordiger","In de Algemene Verordening Gegevensbescherming (AVG) in artikel 4, 17de lid is een vertegenwoordiger gedfinieerd als : een in de Unie gevestigde natuurlijke persoon of rechtspersoon die uit hoofde van artikel 27 schriftelijk door de verwerkingsverantwoordelijke of de verwerker is aangewezen om de verwerkingsverantwoordelijke of de verwerker te vertegenwoordigen in verband met hun respectieve verplichtingen krachtens deze verordening.",,,,,,,
"Onderneming","In de Algemene Verordening Gegevensbescherming (AVG) in artikel 4, 18de lid is een onderneming gedefinieerd als een natuurlijke persoon of rechtspersoon die een economische activiteit uitoefent, ongeacht de rechtsvorm ervan, met inbegrip van maatschappen en persoonsvennootschappen of verenigingen die regelmatig een economische activiteit uitoefenen.",,,,,,,
"Concern","In de Algemene Verordening Gegevensbescherming (AVG) in artikel 4, 19de lid is een concern gedefinieerd als een onderneming die zeggenschap uitoefent en de ondernemingen waarover die zeggenschap wordt uitgeoefend.","Onderneming",,,,,,
"Bindende bedrijfsvoorschriften","In de Algemene Verordening Gegevensbescherming (AVG) in artikel 4, 20ste lid zijn bindende bedrijfsvoorschriften gedefinieerd beleid inzake de bescherming van persoonsgegevens dat een op het grondgebied van een lidstaat gevestigde verwerkingsverantwoordelijke of verwerker voert met betrekking tot de doorgifte of reeksen van doorgiften van persoonsgegevens aan een verwerkingsverantwoordelijke of verwerker in een of meer derde landen binnen een concern of een groepering van ondernemingen die gezamenlijk een economische activiteit uitoefenen.",,,,,,,
"BCR",,"Bindende bedrijfsvoorschriften",,,,,,
"Binding Corporate Rules",,"Bindende bedrijfsvoorschriften",,,,,,
"Internationale organisatie","In de Algemene Verordening Gegevensbescherming (AVG) in artikel 4, 26ste lid is een internationale organisatie gedefinieerd als een organisatie en de daaronder vallende internationaalpubliekrechtelijke organen of andere organen die zijn opgericht bij of op grond van een overeenkomst tussen
twee of meer landen.",,,,,,,
